order_id,item_price,quantity,item_cat,item_name,created_at,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery
109,12.00,2,Pizza,"Pizza Margherita Reg","2022-10-08 13:22:00","607 Trails End Road",,Manchester,6042,1
110,16.00,1,Pizza,"Pizza Diavola (hot) Reg","2022-10-08 13:53:00","25 Cliffside Drive",,Manchester,6042,1
111,12.00,1,Pizza,"Pizza Margherita Reg","2022-10-08 13:32:00","56 Concord Road",,Manchester,6042,1
111,16.00,1,Pizza,"Pizza Diavola (hot) Reg","2022-10-08 13:32:00","56 Concord Road",,Manchester,6042,1
112,19.00,3,Pizza,"Pizza Quattro Formaggi Large","2022-10-08 19:19:00","82 Lookout Mountain Drive",,Manchester,6040,0
112,5.00,5,Side,Breadsticks,"2022-10-08 19:19:00","82 Lookout Mountain Drive",,Manchester,6040,0
112,7.00,5,Side,"Caesar Salad","2022-10-08 19:19:00","82 Lookout Mountain Drive",,Manchester,6040,0
112,6.00,1,Dessert,"Strawberry Ice cream","2022-10-08 19:19:00","82 Lookout Mountain Drive",,Manchester,6040,0
112,2.00,1,Drink,"San Pelligrino 33cl","2022-10-08 19:19:00","82 Lookout Mountain Drive",,Manchester,6040,0
113,19.00,1,Pizza,"Pizza Quattro Formaggi Large","2022-10-08 19:19:00","21 Carver Lane",,Manchester,6040,1
113,16.00,1,Pizza,"Pizza Napolitana Reg","2022-10-08 20:45:00","21 Carver Lane",,Manchester,6040,1
113,6.00,2,Dessert,"Pistachio Ice cream","2022-10-08 20:45:00","21 Carver Lane",,Manchester,6040,1
113,6.00,1,Dessert,"Chocolate Ice cream","2022-10-08 20:45:00","21 Carver Lane",,Manchester,6040,1
113,5.00,3,Dessert,"Chocolate Brownie","2022-10-08 20:45:00","21 Carver Lane",,Manchester,6040,1
114,16.00,1,Pizza,"Pizza Diavola (hot) Reg","2022-10-08 12:05:00","61 Plymouth Lane",,Manchester,6040,1
114,14.00,1,Pizza,"Pizza Margherita Large","2022-10-08 12:05:00","61 Plymouth Lane",,Manchester,6040,1
114,18.00,1,Pizza,"Pizza Napolitana Large","2022-10-08 12:05:00","61 Plymouth Lane",,Manchester,6040,1
